Date,ShareLink,ShareCommentary,SharedURL,MediaURL,Visibility
2023-09-29 08:11:53,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7113435201057255424,,,,MEMBER_NETWORK
2023-08-31 17:30:12,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7103066459735519232,,,,MEMBER_NETWORK
2023-08-31 05:03:07,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7102878445163954179,"ðŸŽ‰ Exciting News! ðŸŽ‰ I'm thrilled to announce that I've recently taken a new step in my journey. After much anticipation, I've joined the wonderful team at Latitude Technolabs Pvt. Ltd.  as PYTHON ODOO DEVELOPER. I'm genuinely excited about the opportunity to contribute my skills and expertise in this field  to such an innovative and dynamic company. Looking forward to connecting and collaborating with old and new colleagues alike. Let's make great things happen together! Feel free to reach out if you'd like to catch up or discuss potential collaborations. #NewBeginnings #CareerMove #excitingopportunity #teamworkmakesthedreamwork ""
""#FirstDayFeels""
""#NewChapter""
""#newcolleagues ""
""",,,MEMBER_NETWORK
2023-07-15 07:18:22,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7085880256863117312,"Hello, LinkedIn community!""
""      I hope this post finds you all well. I'm excited to announce that I am currently open to new opportunities as a Python Developer with 1 year of professional experience.. I have enclosed my resume and would love to hear from anyone who may have an opening or knows someone who does. Thank you for your time! #opentowork  #pythondeveloper #odoodeveloper #djangodeveloper ",,,MEMBER_NETWORK
2023-06-29 05:18:39,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7080051921515855873,,,,MEMBER_NETWORK
2023-06-23 17:49:41,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7078066600616091648,,,,MEMBER_NETWORK
2023-06-23 15:19:38,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7078028837321605120,,,,MEMBER_NETWORK
2023-04-15 11:44:59,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7052970055810068480,,,,MEMBER_NETWORK
2023-01-27 12:58:46,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7024722371794087936,,,,MEMBER_NETWORK
2022-12-14 03:31:35,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7008634568480079872,,,,MEMBER_NETWORK
2022-12-12 09:11:12,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7007995261155192832,,,,MEMBER_NETWORK
2022-11-22 15:45:40,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7000846775712387072,,,,MEMBER_NETWORK
2022-11-20 05:02:49,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6999960219426394112,,,,MEMBER_NETWORK
2022-11-11 07:39:19,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6996738115352596482,,,,MEMBER_NETWORK
2022-11-10 11:57:38,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6996440731254984704,,,,MEMBER_NETWORK
2022-11-08 06:06:47,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6995627662845054976,,,,MEMBER_NETWORK
2022-11-05 15:04:37,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6994675849312546816,,,,MEMBER_NETWORK
2022-10-31 15:56:09,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6992876879913336833,,,,MEMBER_NETWORK
2022-10-15 05:25:25,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6986919942780514305,#emotions #love ,,,MEMBER_NETWORK
2022-07-16 03:16:29,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6953910200152002560,,,,MEMBER_NETWORK
