Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Learning End-to-End Testing with Jest,"Testing small parts of an application is fairly easy, but as you assemble systems, the test complexity often grows with the number of interconnected systems. Sometimes, rather than testing just the parts, you want to test the whole process, as one large set. In this course, Chinyelu Ibute shows you how the JavaScript testing framework, Jest, lets you create comprehensive tests so you can verify the functionality of your entire application. Chinyelu starts with the basics of the test-driven development, including the different types. She then shows how to write an end-to-end test for a RESTful web-service application built with Node.js and MongoDB using Jest. Finally, she explains how to test the application workflow from beginning to end, with a high code coverage.",Course,2023-11-27 07:11 UTC,N/A,false,N/A,
Azure DevOps Engineer Expert (AZ-400) Cert Prep: Introduction to DevOps and Microsoft Development Platforms,"<p>A first step to a career in DevOps is to gain your Azure DevOps Engineer Expert certification. To pass the Designing and Implementing Microsoft DevOps Solutions exam (AZ-400) exam, you need to have a clear understanding of what DevOps is and its core practices as defined by Microsoft. This course provides an overview of the two main platforms a DevOps engineer should be familiar with before sitting for this exam: Azure DevOps and GitHub. 
</p><p>
In this course, Microsoft MVP David Okeyode provides a brief primer of what DevOps is, and covers what each platform is designed to accomplish, focusing on what certification candidates need to know about each platform.
</p>",Course,2023-10-09 04:26 UTC,N/A,false,N/A,
Create an Animated Character in Blender 2.9,"If you’ve ever wanted to create your own 3D animated character, this course is for you. Using open-source software—Blender and the paint program Krita—instructor Darrin Lile goes through every step of the process. He starts with creating the look of the character, showing how to bring in reference images, create textures for clothes, rig the bones of the character, and create, cut, and style your character’s hair. Darrin then gets into the animation process, demonstrating how to set up a reference video in the Blender interface, animate character movements, and create lip sync animation for a dialogue track. He finishes the course by adding music and sound effects, then rendering the final animation to a video file, so you can share your new creation.",Course,2023-02-07 09:15 UTC,N/A,false,N/A,
"Learning Full-Stack JavaScript Development: MongoDB, Node, and React","Learn by doing! Learn full-stack JavaScript development by building a web application with MongoDB, Node.js, and React.js.

Learn how to use Node as a web server and an API server, how to consume data and build user interfaces with React, and how to read and write data with a MongoDB database. React allows you to build full-featured, data-driven applications faster and more efficiently than what is possible with JavaScript alone.

Samer Buna introduces modern JavaScript programming concepts, with an emphasis on functional methods and open-source tools. The lessons are almost completely hands-on, with live coding demonstrations that bring the concepts home.",Course,2023-05-23 05:01 UTC,N/A,false,N/A,
Learning C++ (2021),"C++ is one of the most powerful and widely used programming languages of all time. It is also one of the oldest programming languages in use today. In this course, learn the basic elements of this object-oriented programming language that moves the world. Instructor Eduardo Corpeño begins with setting up the development environment and introducing the basic elements of object-oriented programming. Eduardo covers data types such as variables, expressions, assignments, constants, and more. He explains structures, classes, pointers, vectors, and so on. After stepping through the control flow process and a variety of useful functions, Eduardo finishes up with detailed information on opening and working with files.",Course,2022-06-21 04:43 UTC,N/A,false,N/A,
ETL in Python and SQL,"Data is increasing exponentially as the world continues to generate an immense amount. In this course, a data engineer with over 5 years of experience, Jennifer Ebe, will show you how to build systems that gather data from various sources, transform it and store data so you can derive insights from it effectively. We will go over what ETLs are and how you create them. We will learn how to use Python to extract and transform data, we will explore  our data using pandas and SQL. And finally, load data into our target system. You will also get practice scheduling ETL jobs using Python. Each chapter comes with helpful, hands-on challenges to help you practice what you learn.",Course,2024-06-22 00:23 UTC,N/A,false,N/A,
Test Automation with Python: 1 Introduction to Automated Testing,"The <i>Test Automation with Python</i> series from Headspin University is designed to teach automation skills and tools for testing applications in Appium and Selenium, the world's most popular UI automation tools. But before getting into the automation itself, this first course delves into the concept of testing, from the etymology of the word, to how to design useful tests for your software. While using software as it is meant to be run seems like an obvious test, it’s also helpful and necessary to imagine conditions for the software that its developers might not have thought about. The history of automation is also covered, highlighting the fact that most software is in fact a form of automation. After this course, you’ll have a solid foundation of automated testing and be ready to move on to the next course in the series.
<br><br>
Note: This course was created by HeadSpin University. We are pleased to host this training in our library.",Course,2023-09-05 05:58 UTC,N/A,false,N/A,
Python: Working with Predictive Analytics,"Data can tell many stories: where it came from <i>and</i> where it’s going. Predictive analytics gives programmers a tool to tell stories about the future: to extract usable information and make accurate predictions. These predictions, in turn, allow business to make more informed, impactful decisions. Join Isil Berkun, data scientist, to explore predictive analytics with Python. Discover how to prepare data—fill in missing values, perform feature scaling, and more—and use prebuilt Python libraries to make and evaluate prediction models. She describes what models to use when, and explains the concepts in such a way that you can immediately apply them to your own work. By the end of the course, you’ll be able to leverage Python libraries like pandas and NumPy and choose the right prediction models for your projects.",Course,2022-05-29 08:12 UTC,N/A,false,N/A,
Python vs. JavaScript for Development,"Python and JavaScript are two of the most popular programming languages used by developers, analysts, and data scientists alike. But how do you know which language to use for specific projects or tasks? In this course, longtime instructor and software engineer Julie Nisbet answers this question and provides you with the tools you need to decide between these languages when approaching different projects. Julie starts by exploring the history of each language and how they operate. She then discusses key considerations when picking between each language for a project or task. Julie continues by reviewing key differences between the two programming languages, and closes by exploring various use cases for Python and JavaScript. Upon completing this course, you'll feel prepared to determine whether Python or JavaScript is best for you based on the project at hand.<br><br>This course was created by <a href=""http://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this training in our library.<br><br><img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAHppnBQxgeyWS2CsU3aDDPcMgw.jpg"" height=""20%"" width=""20%"">",Course,2022-04-06 02:36 UTC,N/A,false,N/A,
React: Design Patterns,"If you’ve learned the basics of React and have worked on many React applications, chances are you’ve run into some recurring problems and situations, like creating reusable layouts or working with forms. If you’ve been on the hunt for solutions to common problems, look no further than this course with Shaun Wassell, where he covers many of the most useful design patterns—effective and repeatable solutions to common application development challenges. This course consists of several sections, each of which will cover a group of React design patterns, ranging from preferred syntax for specific tasks to how to arrange components in the most effective way. Among the topics Shaun covers are composition, higher-order components, state hoisting, controlled vs. uncontrolled components, and many other patterns that help a React app develop into a well-organized codebase.",Course,2023-08-10 13:52 UTC,N/A,false,N/A,
Vue.js: Testing and Debugging,"You've learned Vue and can create amazing front-end interfaces, but how do you make sure they really work?  With Jest, ESLint, and browser dev tools, you can look under the hood and see how well your interface is really working. Instructor Fikayo Adepoju explains the benefits of well-tested code, then delves into how to set up your testing tools. Fikayo goes over everything you need to start unit testing, including testing strings using matchers, organizing tests, testing asynchronous code, and more. He shows you how to test Vue.js components and how to use Chrome DevTools and Vue.js Devtools to debug your application. Plus, Fikayo steps through functional and automated testing in Cypress and CircleCI.",Course,2023-08-28 04:51 UTC,N/A,false,N/A,
AWS Certified Cloud Practitioner (CLF-C01) Cert Prep: 1 Cloud Concepts,"Amazon Web Services (AWS)—and cloud computing in general—can be difficult for people without technical backgrounds to decipher. This introductory course is a bridge between non-engineers and the cloud. It is the first in a four-part series designed to help professionals in non-technical roles, including finance teams, project managers, and marketers, make the best use of AWS. Instructor Hiroko Nishimura—founder of Intro to AWS for Newbies—provides a brief history of cloud computing, an overview of cloud deployment models, and a summary of cloud design principles. She then shows how to create an account and start using the AWS Free Tier to gain hands-on experience with AWS products and services. Plus, get exam tips and learn about resources for professionals studying for the AWS Certified Cloud Practitioner exam.<br/><br/>Note: This course also maps to the first domain of the AWS Certified Cloud Practitioner exam. Taking all four courses in the <i>Introduction to AWS for Non-Engineers</i> series will help you prepare for the exam.",Course,2023-09-28 04:21 UTC,N/A,false,N/A,
Using SQL with Python,"Are you familiar with SQL? Do you know Python? Are you interested in understanding how these two languages work together? Then join Bill Weinman in this course as he shows the power of these two languages combined. Bill starts with some basics—connecting to a database, performing simple queries, and reading rows from a table. He covers how to use prepared statements and cursors, how to build a wrapper class to streamline the SQL interface and support multiple different database engines, and how to build a CRUD class and a full-featured web application using what you've learned. Many applications require a combination of SQL and Python, and after finishing Bill’s course, you’ll have a better understanding of why and how you can leverage the power of these two languages together.",Course,2022-05-06 16:11 UTC,N/A,false,N/A,
Level Up: Advanced SQL,"<p>Want to test out your advanced SQL skills? This course was designed for you. These concise challenges let you stretch your brain and push your talents to the next level. Join Microsoft MVP and SQL expert Jess Pomfret to find out more about what it takes to become a master SQL user. Learn how to execute some of the more sophisticated SQLite queries, including complex join types, grouping, advanced select options, windowing functions, and more.</p><p>This course is integrated with GitHub Codespaces, an instant development environment that offers all the functionality of your favorite IDE without the need for any local machine setup. With GitHub Codespaces, you can get hands-on practice from any machine, at any time—all while using a tool that you’ll likely encounter in the workplace.</p><p>Each installment of the <i>Level Up</i> series offers at least 15 bite-sized opportunities to practice programming at various levels of difficulty, so you can challenge yourself and reinforce what you’ve learned. Check out the “Using GitHub Codespaces with this course” video to learn how to get a codespace up and running.</p>",Course,2023-12-22 22:56 UTC,N/A,false,N/A,
Learning Amazon Web Services (AWS) for Developers,"Amazon Web Services (AWS) is the leading cloud service provider today, ahead of competitors such as Microsoft Azure and Google Cloud Platform. It is seen by many as the standard for functional, reliable, interoperable, and affordable cloud services. Developers need to understand what it means to develop on and migrate to the cloud—and comprehend the overall landscape of AWS before diving into the platform. This course provides a high-level overview just for developers, focusing on the AWS features and services of the most interest to them. Instructor Bear Cahill introduces AWS Lambda, DynamoDB, ElastiCache, Elastic Beanstalk, S3, SQS, SNS, and many more key features and services.",Course,2023-05-30 06:18 UTC,N/A,false,N/A,
Building RESTful APIs with Node.js and Express,"Did you know you can use Node.js and Express to build a web API that can push and pull data from your applications via HTTP? You don't have to learn ASP.NET or Python. You don't even have to know that much about back-end programming. In this course, Emmanuel Henri shows you how to create a simple, RESTful web API with these two popular JavaScript libraries. He guides you through how to set up the project, including the Express server and testing environment, and create the endpoints that you need to add, update, and delete data from a MongoDB database. Plus, Emmanuel demonstrates how to serve static files such as images with your new API and explores additional libraries that can help streamline API development, such as Koa and LoopBack.",Course,2023-03-25 02:36 UTC,N/A,false,N/A,
Ethics in the Age of Generative AI,"<p>The amazing potential and opportunity of Generative AI has also brought ethical concerns. How can you address these concerns effectively as you deploy tools and products powered by generative AI? In this course, expert Vilas Dhar equips designers and decision makers to better understand and act on the emerging ethical risks and considerations of generative artificial intelligence. Get a solid introduction to the ethical concerns around generative AI, then learn how to use a framework of ethical analysis to address these concerns. Plus, explore ways you can prepare your organization to address ethics in AI across all stakeholders from technology to C-Suite leaders.</p>",Course,2023-09-21 08:00 UTC,N/A,false,N/A,
How to Support Your Employees' Well-Being,"Managers face sometimes-daunting tasks. When your employees are struggling with burnout, stress, work-life imbalance, and other life challenges that may impact their performance and productivity, how can you support them? In this course, UK-based instructor Amy Brann provides specific tools based on brain science to help you be a source of strength and support for your employees. She discusses your role in your employees’ well-being and how you can positively impact your employees’ experience at work. Amy explains how to recognize, address, and prevent employee burnout. She points out questions you can ask a struggling employee to create honest discussions and practical, science-based tools to support struggling employees. Amy concludes by describing ways you can communicate effectively and create psychological safety to promote happiness and well-being in the workplace.",Course,2024-04-12 03:21 UTC,N/A,false,N/A,
Learning SQL Programming,"Structured Query Language (SQL) is a common tool for retrieving data from relational databases such as SQL Server, MySQL, MariaDB, and PostgreSQL. This course provides an introduction to this core programming language. Learn how to request data from a database, limit and sort the responses, aggregate data from multiple tables with joins, and edit and delete data. Instructor Scott Simpson also shows how to perform simple math operations and transform data into different formats.",Course,2023-06-22 05:31 UTC,N/A,false,N/A,
Calling REST APIs with Java,"Get the information you need on several popular third-party REST APIs, including the Azure Cognitive Services API, the Twitter API, the Twilio API, and more. Instructor Kevin Bowersox shows you how to call these APIs, using various techniques available in Java. Kevin uses each chapter to focus on a specific third-party API and a specific Java tactic for calling the API. Within each chapter, he goes over the purpose of the API, its major resources, and its security scheme, then he provides hands-on lessons that demonstrate how to call the API. Kevin demonstrates how to interact with these APIs, so you can get hands-on experience working with real world APIs that will translate to other APIs that you can leverage in your professional development.",Course,2022-11-08 19:07 UTC,N/A,false,N/A,
ChatGPT for Web Developers,"<p>Since its release in November 2022, ChatGPT has taken the world by storm. It’s a game changer for web developers, too, who can use it to improve the efficiency and productivity of their overall workflows. In this course, join instructor Sandy Ludosky for an introduction to ChatGPT for web developers.</p><p>Explore the basics of how ChatGPT works and how to start using it to generate code—coding better and faster than ever before and optimizing the appearance of webpages with CSS. Learn to converse with the ChatGPT UI to create fully realized web applications using JavaScript and ReactJS. Along the way, level up your skills with the exercise challenges at the end of each section. By the end of this course, you’ll also be equipped with new skills for prompt engineering to create next-generation ChatGPT-powered applications.</p>",Course,2023-12-12 12:04 UTC,N/A,false,N/A,
BIM Tools,"If you're in architecture, engineering, or construction, you need to stay on top of the BIM technology. Join Eric Wing for a review of the latest tools and design trends. In each episode he tackles a different application or workflow to streamline modeling, rendering, and collaboration. Learn what's new in the 2018 versions of Revit and Navisworks, find out how to smooth BIM roadblocks and roll out BIM training, and discover the best collaboration tools for working with multiple partners and firms.",Course,2022-11-17 19:19 UTC,N/A,false,N/A,
Agile Project Management with Jira Cloud: 2 Lean and Agile Processes,"In this course, explore the difference between lean and agile, and learn to identify kanban systems. Walk through what scrum is, learn how to define velocity and scrum roles, and start creating a scrum project. Discover quick searches and basic searches, as well as how to use both in Jira. Plus, explore Jira Query Language (JQL).<br><br>Note: To check out other Atlassian University courses about Jira workflows, reporting, automation, and more, click <a href=""https://university.atlassian.com/student/catalog/list?category_ids=21560-jira-software?utm_source=linkedin-learning&utm_medium=comarketing&utm_campaign=P:uni-training*O:university*C:bio*I:linkedin-learning*"" target=""_blank"">here</a>.",Course,2024-04-21 11:07 UTC,N/A,false,N/A,
Spring: Spring MVC,"Dive deep into Spring MVC, an essential web framework for Java developers who work on enterprise-level projects. Throughout this practical course, instructor Ketkee Aryamane steps through fundamental aspects of this framework, where she explains controllers, models, and views in Spring MVC. She also discusses the benefits of learning Spring MVC; explores exception handling, themes, implementing asynchronous execution flows, and extending your Spring MVC application to serve REST requests; and provides exercises that can help you strengthen your understanding of key concepts. Upon completing this course, you'll have the knowledge you need to build robust MVC web applications with Spring MVC.",Course,2022-09-05 01:12 UTC,N/A,false,N/A,
JavaScript Essential Training,"<p>JavaScript is a scripting language of the web. As the web evolves from a static to a dynamic environment, technology focus is shifting from static markup and styling to dynamic interfaces and advanced interaction. Once seen as optional, JavaScript is now becoming an integral part of the web, infusing every layer with its script.</p><p>This course includes Code Challenges powered by CoderPad. Code Challenges are interactive coding exercises with real-time feedback, so you can get hands-on coding practice alongside the course content to advance your programming skills. Instructor Morten Rand-Hendriksen helps you build your understanding of JavaScript piece by piece, from core principles like variables, data types, conditionals, and functions through advanced topics including loops, and DOM scripting. </p>",Course,2023-02-15 02:28 UTC,N/A,false,N/A,
Agile Project Management: Comparing Agile Tools,"​​The Agile mindset is an exciting way to quickly deliver higher-quality products. This course helps you compare the strengths and weaknesses of several top agile software tools. These include Microsoft Excel, Atlassian JIRA, Trello, Microsoft Azure DevOps, and open-source GitLab. The course highlights the advantages of simple tools like spreadsheets and more complex product management packages. This course helps project managers, software developers, agile coaches and other professionals determine which tool is the best fit for their team. Agile expert Doug Rose provides a fast-paced tour and an unvarnished look at what some of the tools get right and what some get wrong. Doug concludes each section with suggested strategies for selecting the right tool for your team—always remembering that no tool should ever overshadow the core values of the agile manifesto.",Course,2024-02-24 13:06 UTC,N/A,false,N/A,
Managing Jira Projects: 2 Managing Boards,"Learn how to configure and manage a Jira board, then dive into how boards and projects relate to each other. Discover how to manage issues and move them between projects, as well as why it’s important to track business and agile metrics for your projects. Plus, walk through how to create dashboards and how to attach gadgets to them.<br><br>Note: To check out other Atlassian University courses about Jira workflows, reporting, automation, and more, click <a href=""https://university.atlassian.com/student/catalog/list?category_ids=21560-jira-software?utm_source=linkedin-learning&utm_medium=comarketing&utm_campaign=P:uni-training*O:university*C:bio*I:linkedin-learning*"" target=""_blank"">here</a>.",Course,2024-03-03 12:06 UTC,N/A,false,N/A,
